Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
S,AC,,7.9,138,C,25,158,,,,196,,,FCC,CAST,7.9,192,196
M,AC,,7.4,212,C,25,346,,,,187,,,other,CAST,7.4,,187
M,AC,,7,385,C,25,794,,,,179,,,other,CAST,7,,179
S,AC,,6.6,456,C,25,964,,,,173,,,BCC,CAST,6.6,162,173
S,AC,,8.5,125,C,25,204,,,,207,,,FCC,CAST,8.5,207,207
S,AC,,8.5,125,C,25,209,,,,207,,,FCC,CAST,8.5,207,207
S,AC,,7.7,149,C,25,196,,,,194,,,FCC,CAST,7.7,186,194
M,AC,,7.1,287,C,25,476,,,,,,,other,CAST,7.1,,
M,AC,,6.6,570,C,25,1301,,,,,,,other,CAST,6.6,,
S,CR,24,8.2,,T,25,274,708,39,,225,,,FCC,WROUGHT,8.2,226,225
S,CR,36,8.1,,T,25,282,694,44,,222,,,FCC,WROUGHT,8.1,222,222
S,CR,41,8.3,,T,25,300,860,60,,229,,,FCC,WROUGHT,8.3,231,229
S,CR,48,8.2,,T,25,170,550,41,,205,,,FCC,WROUGHT,8.2,204,205
S,CR,28,8.5,,T,25,211,513,31,,207,,,FCC,WROUGHT,8.5,207,207
S,CR,32,8.4,,T,25,231,653,38,,202,,,FCC,WROUGHT,8.4,202,202
S,CR,30,8.1,,T,25,221,602,36,,203,,,FCC,WROUGHT,8.1,203,203
M,AC,175,8.2,,T,25,318,622,19,,,,,other,CAST,8.2,,
M,AC,175,8.2,,T,25,322,744,23,,,,,other,CAST,8.2,,
M,AC,175,8.2,,T,25,403,807,9,,,,,other,CAST,8.2,,
M,AC,175,8.2,,T,25,479,879,4,,,,,other,CAST,8.2,,
